iter	RMSE
283	0.461772349
284	0.4590557907
285	0.4582481745
286	0.4574752221
287	0.4566830422
288	0.453866822
289	0.4510507948
290	0.449585012
291	0.4468245728
292	0.4440874051
293	0.442973228
294	0.4401695033
295	0.439441154
296	0.4368120734
297	0.4353646799
298	0.4339773957
299	0.4313099305
300	0.4286837731
301	0.4274361531
302	0.4248176413
303	0.4221721801
304	0.4196192053
305	0.4170197109
306	0.4144317164
307	0.4133654445
308	0.4108771099
309	0.4083462032
310	0.4058195874
311	0.4033840149
312	0.4009690783
313	0.3984851321
314	0.3960536258
315	0.3937399775
316	0.3913785278
317	0.3902511385
318	0.3879371581
319	0.3855565989
320	0.3831975823
321	0.3809406857
322	0.3786286136
323	0.3764052116
324	0.3742007091
325	0.371787124
326	0.3695457897
327	0.3673118771
328	0.3650981961
329	0.3629793409
330	0.3608030751
331	0.3586407996
332	0.3565012233
333	0.3543720263
334	0.352262113
335	0.3512516937
336	0.3492337768
337	0.3471658858
338	0.3449827275
339	0.3429391736
340	0.3409205619
341	0.3389112803
342	0.3368019015
343	0.3348896422
344	0.3328188678
345	0.330770881
346	0.3288491545
347	0.3268400418
348	0.3248530006
349	0.3228877756
350	0.3209441146
351	0.3190217684
352	0.3171204912
353	0.3152400401
354	0.3133801751
355	0.3115406593
356	0.3097212587
357	0.3079217423
358	0.3061418818
359	0.3042720565
360	0.3025323575
361	0.3007982114
362	0.2990899802
363	0.2973890667
364	0.2957066731
365	0.2940425881
366	0.2923310783
367	0.2906984762
368	0.2890836246
369	0.2874722602
370	0.2858201756
371	0.2842350208
372	0.2826533434
373	0.2812349319
374	0.2798347797
375	0.2784525935
376	0.2769232854
377	0.2753972495
378	0.273972415
379	0.2726364939
380	0.2711429807
381	0.2698320566
382	0.2683442697
383	0.2668921831
384	0.2656189592
385	0.2641737179
386	0.262751108
387	0.2615144215
388	0.2601104185
389	0.258716582
390	0.2573362185
391	0.2561422872
392	0.2549633635
393	0.2536108344
394	0.2524538284
395	0.2511280234
396	0.2498027232
397	0.2484902125
398	0.2471975475
399	0.2460918633
400	0.244642729
401	0.243209397
402	0.2419414973
403	0.2406858219
404	0.2394422483
405	0.2382106553
406	0.2371607773
407	0.2359474664
408	0.2347433893
409	0.2335481743
410	0.2323644655
411	0.2313569304
412	0.230361828
413	0.2292017884
414	0.2280542974
415	0.2269115435
416	0.22560725
417	0.2244835387
418	0.2233706376
419	0.222096638
420	0.2209968974
421	0.2199083794
422	0.2188302271
423	0.2177579169
424	0.2165262863
425	0.2154718276
426	0.214578462
427	0.213539613
428	0.2125091121
429	0.2113184565
430	0.2103023374
431	0.2092959964
432	0.2084446061
433	0.2074531577
434	0.2064681693
435	0.2052339375
436	0.204263604
437	0.2031382559
438	0.202326925
439	0.2013776755
440	0.2004362935
441	0.1992514732
442	0.198322366
443	0.1974022008
444	0.1966282812
445	0.1957216981
446	0.1945737677
447	0.1942656523
448	0.1935122053
449	0.1926267956
450	0.1915043929
451	0.1906287872
452	0.1903310612
453	0.1894664535
454	0.1883692008
455	0.1875177468
456	0.1872284548
457	0.1863915061
458	0.1855515906
459	0.1852694706
460	0.184202318
461	0.1835116852
462	0.1824619909
463	0.1821862772
464	0.1813861123
465	0.180577004
466	0.179775751
467	0.1791143457
468	0.1780970791
469	0.1778325967
470	0.1770499358
471	0.1762867001
472	0.1752920356
473	0.1750350809
474	0.1742889145
475	0.1733116329
476	0.1730602007
477	0.1723061384
478	0.1716897013
479	0.1707302104
480	0.1697799796
481	0.1695356131
482	0.1685918578
483	0.1677024633
484	0.1674619789
485	0.166868696
486	0.1659938948
487	0.1651169886
488	0.164881953
489	0.164080098
490	0.1632295294
491	0.1624406999
492	0.1615938246
493	0.1613660756
494	0.1605923029
495	0.1597013663
496	0.1591674861
497	0.1583439593
498	0.1581226754
499	0.1573095914
500	0.1565622665
501	0.1556968958
502	0.1549614062
503	0.1541084372
504	0.1537788073
505	0.1529959395
506	0.1522785174
507	0.1514434776
508	0.1512343668
509	0.1504705517
510	0.1497704987
511	0.1489523715
512	0.1481975652
513	0.1479938963
514	0.1473105419
515	0.1464826066
516	0.1457456553
517	0.1455467633
518	0.1448187855
519	0.1440991087
520	0.1439033723
521	0.1432458064
522	0.1424510452
523	0.1422601657
524	0.1414632321
525	0.1406834466
526	0.1399134368
527	0.1397228245
528	0.1389419392
529	0.1381864355
530	0.1379998862
531	0.1372311871
532	0.1364899027
533	0.1363073202
534	0.1355766579
535	0.1348232278
536	0.1346445205
537	0.1339276102
538	0.1334572584
539	0.1326929159
540	0.1319912385
541	0.1318185642
542	0.1313594745
543	0.1306579732
544	0.1302056808
545	0.1297643002
546	0.1293283458
547	0.128651421
548	0.1284865042
549	0.1278011865
550	0.1271367054
551	0.126975263
552	0.1262506419
553	0.1255985334
554	0.1251726031
555	0.1245084283
556	0.1243518475
557	0.1239331759
558	0.1235189099
559	0.1231151164
560	0.1224634185
561	0.1221509578
562	0.1220005479
563	0.1216927557
564	0.1213884866
565	0.1212418308
566	0.1209421023
567	0.1206458075
568	0.120502796
569	0.1198904821
570	0.1192860569
571	0.1186053896
572	0.1184663074
573	0.1181809947
574	0.1178989484
575	0.117763306
576	0.1171752824
577	0.1165072166
578	0.1163743402
579	0.1161006516
580	0.1158300937
581	0.1157004883
582	0.115128317
583	0.1147615824
584	0.1141551201
585	0.1138936482
586	0.1137684382
587	0.1135030363
588	0.113247852
589	0.1131255946
590	0.1125733893
591	0.1123238109
592	0.1120695237
593	0.1119510071
594	0.1113103875
595	0.11106781
596	0.1108202527
597	0.1107003178
598	0.110463556
599	0.1102220389
600	0.1101050784
601	0.1095232957
602	0.1092932582
603	0.1089722558
604	0.1087394921
605	0.1086169239
606	0.1083030052
607	0.1080826031
608	0.1077747825
609	0.1075515682
610	0.1074337089
611	0.1071327134
612	0.1067912465
613	0.1065823364
614	0.1064684631
615	0.1061773936
616	0.1058474815
617	0.1056385983
618	0.1053564437
619	0.1051584918
620	0.105049851
621	0.1047332913
622	0.1044604814
623	0.104262396
624	0.104157296
625	0.1038594951
626	0.1035571289
627	0.1034549959
628	0.1031944209
629	0.1029076131
630	0.1027270235
631	0.1026283302
632	0.1023402544
633	0.1020633618
634	0.1018160263
635	0.1017207487
636	0.1014436567
637	0.1011769013
638	0.100938386
639	0.1007644556
640	0.1006729994
641	0.100408312
642	0.1002454169
643	0.09999146133
644	0.09988192235
645	0.09965573072
646	0.09940834207
647	0.09915829194
648	0.099052778
649	0.09881247576
650	0.09822775214
651	0.09812471649
652	0.09762716361
653	0.09752564648
654	0.0969513233
655	0.09636180626
656	0.09577630716
657	0.09519479662
658	0.09461724554
659	0.09404362503
660	0.09347390648
661	0.09290806149
662	0.09238318762
663	0.091939649
664	0.09150136136
665	0.09094743228
666	0.09051674792
667	0.09042160461
668	0.08987435025
669	0.0893308143
670	0.08882689874
671	0.08829008779
672	0.08775692153
673	0.08726225358
674	0.08685100707
675	0.08644463242
676	0.08604307304
677	0.08595028758
678	0.08543100287
679	0.08491524316
680	0.08440298295
681	0.08392789096
682	0.08354016167
683	0.08335926913
684	0.08297704988
685	0.08288815959
686	0.08238806836
687	0.08189136905
688	0.08139803715
689	0.08094051213
690	0.0804532706
691	0.07996933008
692	0.07951267972
693	0.07914998126
694	0.07895818316
695	0.0787693361
696	0.07868626208
697	0.07824456165
698	0.07777373311
699	0.0773375051
700	0.07687248205
701	0.07644165633
702	0.07609556253
703	0.07593685957
704	0.0755956494
705	0.07551643361
706	0.07506234063
707	0.07461132252
708	0.0741633572
709	0.07371842273
710	0.07330588473
711	0.0728664284
712	0.07254060085
713	0.07210592521
714	0.0717028512
715	0.07154954806
716	0.0711211285
717	0.07104717686
718	0.07065041442
719	0.0702276674
720	0.06980777725
721	0.06941825834
722	0.06900352935
723	0.06861882058
724	0.06822865634
725	0.06792531303
726	0.0676255728
727	0.06732415645
728	0.06725447485
729	0.06711350077
730	0.06681774269
731	0.06674980858
732	0.06645693879
733	0.06632000025
734	0.06625340478
735	0.06596498092
736	0.06568060637
737	0.06561569412
738	0.0653294443
739	0.06519777447
740	0.06513414152
741	0.0650049922
742	0.06472294329
743	0.06466056544
744	0.06453423771
745	0.06425596394
746	0.06419481623
747	0.0638103838
748	0.06342855725
749	0.06304931793
750	0.0627763102
751	0.06265552767
752	0.06259665596
753	0.06222264085
754	0.06185116013
755	0.06148219573
756	0.06111572971
757	0.06075174427
758	0.06039022178
759	0.06005517297
760	0.05971537024
761	0.05946000802
762	0.05920833305
763	0.05895606323
764	0.05870928117
765	0.05865462721
766	0.05840697053
767	0.05829718141
768	0.05824360228
769	0.05813591384
770	0.05789184566
771	0.0578393211
772	0.05773397587
773	0.05749314874
774	0.05744165782
775	0.05733860205
776	0.05699709394
777	0.05665790105
778	0.05644965949
779	0.05639987397
780	0.05616602526
781	0.05583179163
782	0.05549982377
783	0.05517010558
784	0.0548656573
785	0.0546658444
786	0.05446864591
787	0.05442095851
788	0.05419698572
789	0.05389240284
790	0.05357226081
791	0.05325429193
792	0.05293848079
793	0.05264733943
794	0.05235807176
795	0.05204786872
796	0.05176217842
797	0.05147832628
798	0.0514334533
799	0.05115166391
800	0.05084889527
801	0.05057058968
802	0.05029407493
803	0.04999667096
804	0.0497012875
805	0.04943666263
806	0.04914472766
807	0.04885477697
808	0.04856679655
809	0.04828077252
810	0.04799669112
811	0.04771453869
812	0.04743430168
813	0.04715596669
814	0.04687952037
815	0.04660494953
816	0.04633224107
817	0.04606138199
818	0.0457923594
819	0.04552516054
820	0.04525977271
821	0.04499618335
822	0.04474784496
823	0.044501102
824	0.04423388551
825	0.04396851471
826	0.04370497491
827	0.04344325158
828	0.04318333036
829	0.04292519699
830	0.0426688374
831	0.04241423763
832	0.04216138388
833	0.042125085
834	0.04187420739
835	0.04162504597
836	0.04137758741
837	0.04113181845
838	0.04088772601
839	0.04064529713
840	0.04040451897
841	0.04037029021
842	0.04013137497
843	0.03989408276
844	0.03965840114
845	0.03942431781
846	0.03919182059
847	0.03896089741
848	0.03873153633
849	0.03869922408
850	0.03847162085
851	0.03824555396
852	0.03802101183
853	0.03779798301
854	0.03757645615
855	0.03735642
856	0.03732568994
857	0.03710732693
858	0.03689043042
859	0.03671682058
860	0.03654470019
861	0.03637405797
862	0.03620967221
863	0.03604135699
864	0.03587919555
865	0.03571317522
866	0.03555320681
867	0.03538944972
868	0.03523164348
869	0.03507011841
870	0.03491444393
871	0.03471050929
872	0.03455704345
873	0.03435538691
874	0.03415509481
875	0.03399931281
876	0.03384042341
877	0.03369157702
878	0.03354398106
879	0.03351608963
880	0.03332092056
881	0.03312707322
882	0.03297728025
883	0.03283336115
884	0.03264253721
885	0.03249147948
886	0.03233465135
887	0.03219429777
888	0.03204620513
889	0.031907749
890	0.03175481154
891	0.03161828328
892	0.03159204083
893	0.0314221472
894	0.03133956127
895	0.03131391696
896	0.03123248588
897	0.03120726732
898	0.03102949435
899	0.03094965783
900	0.03092503204
901	0.03090069508
902	0.03082209299
903	0.03079815878
904	0.03061972289
905	0.03044065121
906	0.0302630724
907	0.03018460934
908	0.0300128721
909	0.02996331276
910	0.02994054303
911	0.02976720524
912	0.02959504097
913	0.02942282365
914	0.02925282636
915	0.02918006309
916	0.02913317828
917	0.02911150808
918	0.02894343458
919	0.02877892144
920	0.02861290838
921	0.02853981552
922	0.02846810508
923	0.0284316981
924	0.02841114408
925	0.02839083207
926	0.02822959594
927	0.02818648028
928	0.02816671677
929	0.02800433593
930	0.02784304769
931	0.02768284411
932	0.02761445069
933	0.02758063375
934	0.02755168591
935	0.02753301523
936	0.02737679166
937	0.02721790031
938	0.02706034166
939	0.02690478942
940	0.0268389905
941	0.02677583338
942	0.02674416238
943	0.02671714026
944	0.0266985326
945	0.02654717238
946	0.02639683714
947	0.0262452108
948	0.02609359055
949	0.02596931466
950	0.02590718259
951	0.02588260671
952	0.02586494568
953	0.02585070182
954	0.02582690676
955	0.02580980124
956	0.02566171433
957	0.02551642062
958	0.02537013423
959	0.0252266294
960	0.02520386459
961	0.025190472
962	0.02504612145
963	0.02490273488
964	0.02476196417
965	0.02462031768
966	0.02450412155
967	0.02448595805
968	0.02435046126
969	0.02421682025
970	0.02408007633
971	0.02394250335
972	0.02381219809
973	0.02367790182
974	0.02365218133
975	0.02363720271
976	0.02350220716
977	0.02336979077
978	0.02324373357
979	0.02311107209
980	0.02298102014
981	0.02285811508
982	0.0227277404
983	0.0225982347
984	0.02247836467
985	0.02235204037
986	0.02223451937
987	0.02210788955
988	0.02198380409
989	0.02186922502
990	0.02174475916
991	0.02162112279
992	0.02150937519
993	0.02138881239
994	0.02127925943
995	0.02115833375
996	0.02103989169
997	0.02093308387
998	0.02081420684
999	0.02069612207
